gene_symbol,surfaceome_class,topology,ectodomain_accessibility,localization,notes
MSLN,MS-validated,GPI-anchored,high,plasma_membrane,GPI-anchored ectodomain; shed (sMSLN sink)
CLDN18,MS-validated,multipass_4TM,partial,plasma_membrane,Claudin tetraspan; small extracellular loops
TACSTD2,MS-validated,single-pass_typeI,high,plasma_membrane,Large N-terminal ectodomain
PSCA,MS-validated,GPI-anchored,high,plasma_membrane,Small GPI-anchored ectodomain
CEACAM5,MS-validated,GPI-anchored,high,plasma_membrane,Ig-like ectodomain; GPI-anchored
CEACAM6,MS-validated,GPI-anchored,high,plasma_membrane,GPI-anchored Ig-like ectodomain
MUC1,MS-validated,single-pass_typeI,high,plasma_membrane,Large glycosylated ectodomain; shed
MUC16,MS-validated,single-pass_typeI,high,plasma_membrane,Very large mucin ectodomain; shed (CA125 sink)
MUC4,MS-validated,single-pass_typeI,high,plasma_membrane,Membrane mucin; large ectodomain
GPC1,MS-validated,GPI-anchored,high,plasma_membrane,GPI-anchored heparan-sulfate proteoglycan
GPC3,MS-validated,GPI-anchored,high,plasma_membrane,GPI-anchored onco-fetal
ERBB2,MS-validated,single-pass_typeI,high,plasma_membrane,RTK ectodomain
ERBB3,MS-validated,single-pass_typeI,high,plasma_membrane,HER3 RTK ectodomain
PTK7,MS-validated,single-pass_typeI,high,plasma_membrane,Pseudokinase RTK ectodomain
AXL,MS-validated,single-pass_typeI,high,plasma_membrane,TAM-family RTK ectodomain
EGFR,MS-validated,single-pass_typeI,high,plasma_membrane,RTK ectodomain
FOLR1,MS-validated,GPI-anchored,high,plasma_membrane,GPI-anchored folate receptor
CD276,MS-validated,single-pass_typeI,high,plasma_membrane,B7-family Ig ectodomain
PROM1,MS-validated,multipass_5TM,partial,plasma_membrane,Pentaspan; two large extracellular loops
CDH17,MS-validated,single-pass_typeI,high,plasma_membrane,Cadherin ectodomain
TM4SF1,MS-validated,multipass_4TM,partial,plasma_membrane,Tetraspanin; small loops
SLC34A2,MS-validated,multipass,low,plasma_membrane,Multipass transporter; limited ectodomain
MET,MS-validated,single-pass_typeI,high,plasma_membrane,RTK ectodomain
ROR1,MS-validated,single-pass_typeI,high,plasma_membrane,Onco-fetal RTK ectodomain
NECTIN4,MS-validated,single-pass_typeI,high,plasma_membrane,Nectin Ig ectodomain
DLL3,MS-validated,single-pass_typeI,high,plasma_membrane,Tumor-restricted Notch ligand
L1CAM,MS-validated,single-pass_typeI,high,plasma_membrane,Ig-superfamily adhesion ectodomain
ANTXR1,MS-validated,single-pass_typeI,high,plasma_membrane,vWA-domain ectodomain
